liveness,tempo,energy,analysis_url,speechiness,mode,instrumentalness,key,duration_ms,id,name,popularity,uri,acousticness,track_href,time_signature,loudness,valence,type,danceability
0.109,123.992,0.829,https://api.spotify.com/v1/audio-analysis/2Q6pIANMLfCiSCW7Pi6I5g,0.0596,1,0.892,7,258733,2Q6pIANMLfCiSCW7Pi6I5g,ONO,37,spotify:track:2Q6pIANMLfCiSCW7Pi6I5g,0.00389,https://api.spotify.com/v1/tracks/2Q6pIANMLfCiSCW7Pi6I5g,4,-8.794,0.475,audio_features,0.627
0.131,134.975,0.907,https://api.spotify.com/v1/audio-analysis/3nx9M0vBIrVSYUSKhOARkO,0.0992,1,0,5,275707,3nx9M0vBIrVSYUSKhOARkO,Djessimidjeka,34,spotify:track:3nx9M0vBIrVSYUSKhOARkO,0.357,https://api.spotify.com/v1/tracks/3nx9M0vBIrVSYUSKhOARkO,4,-3.994,0.719,audio_features,0.496
0.0793,118.004,0.766,https://api.spotify.com/v1/audio-analysis/2S5LNtRVRPbXk01yRQ14sZ,0.141,0,0,9,224258,2S5LNtRVRPbXk01yRQ14sZ,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",67,spotify:track:2S5LNtRVRPbXk01yRQ14sZ,0.0242,https://api.spotify.com/v1/tracks/2S5LNtRVRPbXk01yRQ14sZ,4,-4.697,0.784,audio_features,0.854
0.0856,125.997,0.822,https://api.spotify.com/v1/audio-analysis/1YLw83IPqWywp4Pn1ZloFg,0.231,1,0.779,1,199048,1YLw83IPqWywp4Pn1ZloFg,Origin,47,spotify:track:1YLw83IPqWywp4Pn1ZloFg,0.00435,https://api.spotify.com/v1/tracks/1YLw83IPqWywp4Pn1ZloFg,4,0,0.453,audio_features,0.897
0.0638,123.062,0.862,https://api.spotify.com/v1/audio-analysis/3977Fn3tNs2FyZ7yuyLrCh,0.0525,1,0.113,2,206829,3977Fn3tNs2FyZ7yuyLrCh,AKWAABA,56,spotify:track:3977Fn3tNs2FyZ7yuyLrCh,0.0203,https://api.spotify.com/v1/tracks/3977Fn3tNs2FyZ7yuyLrCh,4,-4.974,0.213,audio_features,0.881
0.201,89.494,0.977,https://api.spotify.com/v1/audio-analysis/7GonnnalI2s19OCQO1J7Tf,0.176,0,0.00298,7,284027,7GonnnalI2s19OCQO1J7Tf,Kickstart My Heart,70,spotify:track:7GonnnalI2s19OCQO1J7Tf,0.00111,https://api.spotify.com/v1/tracks/7GonnnalI2s19OCQO1J7Tf,4,-3.839,0.236,audio_features,0.474
0.0874,110.039,0.826,https://api.spotify.com/v1/audio-analysis/1eyCaj5QySgIm5kLPbZNVO,0.165,0,0.000111,5,185522,1eyCaj5QySgIm5kLPbZNVO,Bia,46,spotify:track:1eyCaj5QySgIm5kLPbZNVO,0.0688,https://api.spotify.com/v1/tracks/1eyCaj5QySgIm5kLPbZNVO,4,-4.696,0.857,audio_features,0.755
0.09,125.665,0.582,https://api.spotify.com/v1/audio-analysis/2hS4wCi2VAV8CdsLPnWIoD,0.069,0,3.7e-05,3,220320,2hS4wCi2VAV8CdsLPnWIoD,Behind - Callea Radio Mix,34,spotify:track:2hS4wCi2VAV8CdsLPnWIoD,0.0923,https://api.spotify.com/v1/tracks/2hS4wCi2VAV8CdsLPnWIoD,4,-8.173,0.149,audio_features,0.503
0.375,126.028,0.869,https://api.spotify.com/v1/audio-analysis/0u7NLZGg5RLxn0fX5EDXZG,0.09,1,0.696,1,207619,0u7NLZGg5RLxn0fX5EDXZG,Move,45,spotify:track:0u7NLZGg5RLxn0fX5EDXZG,0.00106,https://api.spotify.com/v1/tracks/0u7NLZGg5RLxn0fX5EDXZG,4,-3.699,0.363,audio_features,0.78
0.0863,180.078,0.599,https://api.spotify.com/v1/audio-analysis/1UFOUQ1Szs3fJWWWQDOreB,0.326,0,0,4,237533,1UFOUQ1Szs3fJWWWQDOreB,Champion,53,spotify:track:1UFOUQ1Szs3fJWWWQDOreB,0.092,https://api.spotify.com/v1/tracks/1UFOUQ1Szs3fJWWWQDOreB,4,-9.837,0.545,audio_features,0.791
